id,from_node_lat,from_node_long,to_node_lat,to_node_long, link_desc,link_status
N100_to_N101,60.58868781,-145.6046329,60.59347723,-145.5797679,Short,1
N100_to_N102,60.58868781,-145.6046329,60.59347723,-145.5797679,Short,1
N103_to_N100,60.58868781,-145.6046329,60.58868781,-145.6046329,XFMR,1
N104_to_N103,60.58868781,-145.6046329,60.58868781,-145.6046329,UG_line,1
N104_to_N400,60.58868781,-145.6046329,60.54046489,-145.7409785,XFMR,1
N200_to_N204,60.61267722,-145.6797904,60.61267968,-145.6797883,XFMR,1
N204_to_N205,60.61267968,-145.6797883,60.58031093,-145.71713,UG_line,1
N205_to_N300,60.58031093,-145.71713,60.55620703,-145.7537217,UG_line,1
N303_to_N300,60.55616814,-145.7538446,60.55620703,-145.7537217,XFMR,1
N304_to_N300,60.55616814,-145.7538446,60.55620703,-145.7537217,Short,1
N305_to_N300,60.55636629,-145.7534838,60.55620703,-145.7537217,Short,1
N306_to_N300,60.55636629,-145.7534838,60.55620703,-145.7537217,Short,1
N307_to_N300,60.55616814,-145.7538446,60.55620703,-145.7537217,Short,0
N308_to_N300,60.55587512,-145.7539286,60.55620703,-145.7537217,XFMR,1
N400_to_N300,60.54046489,-145.7409785,60.55620703,-145.7537217,UG_line,1
N400_to_N601,60.54046489,-145.7409785,60.54053113,-145.7413754,UG_line,1
N507_to_N300,60.55630642,-145.7536415,60.55620703,-145.7537217,UG_line,1
N507_to_N514,60.55630642,-145.7536415,60.55376943,-145.7568852,UG_line,1
N518_to_N514,60.55074725,-145.7613148,60.55376943,-145.7568852,UG_line,1
N518_to_N526,60.55074725,-145.7613148,60.54879883,-145.7636204,UG_line,1
N526_to_N731,60.54879883,-145.7636204,60.54783056,-145.765129,backup line,2
N531_to_N526,60.54951875,-145.7613602,60.54879883,-145.7636204,,1
N531_to_N729,60.54951875,-145.7613602,60.54771707,-145.7633705,backup line,2
N531_to_N850,60.54951875,-145.7613602,60.5464789,-145.7584539,backup line,2
N601_to_N606,60.54053113,-145.7413754,60.54138556,-145.7423055,,1
N608_to_N606,60.54309961,-145.7419555,60.54138556,-145.7423055,UG_line,1
N608_to_N612,60.54309961,-145.7419555,60.54281506,-145.7467771,UG_line,1
N608_to_N859,60.54309961,-145.7419555,60.54096569,-145.7445908,backup line,2
N614_to_N612,60.54226927,-145.7518833,60.54281506,-145.7467771,UG_line,1
N614_to_N620,60.54226927,-145.7518833,60.54235669,-145.7567855,UG_line,1
N627_to_N620,60.5445208,-145.7572651,60.54235669,-145.7567855,UG_line,1
N627_to_N850,60.5445208,-145.7572651,60.5464789,-145.7584539,backup line,2
N701_to_N400,60.54048475,-145.7413777,60.54046489,-145.7409785,Short,0
N707_to_N701,60.54399529,-145.7611739,60.54048475,-145.7413777,UG_line,1
N707_to_N722,60.54399529,-145.7611739,60.54693692,-145.7610863,Short,1
N707_to_N850,60.54399529,-145.7611739,60.5464789,-145.7584539,backup line,2
N729_to_N722,60.54771707,-145.7633705,60.54693692,-145.7610863,Short,1
N731_to_N729,60.54783056,-145.765129,60.54771707,-145.7633705,UG_line,1
N801_to_N400,60.54044653,-145.7413594,60.54046489,-145.7409785,UG_line,1
N806_to_N801,60.53912015,-145.7424304,60.54044653,-145.7413594,UG_line,1
N806_to_N808,60.53912015,-145.7424304,60.53919729,-145.7528252,UG_line,1
N811_to_N808,60.53713436,-145.7604799,60.53919729,-145.7528252,Short,1
N811_to_N813,60.53713436,-145.7604799,60.53533395,-145.7727231,Short,1
N813_to_N822,60.53533395,-145.7727231,60.53311036,-145.7776789,UG_line,1
N822_to_N829,60.53311036,-145.7776789,60.52844131,-145.7797327,UG_line,1
N829_to_N831,60.52844131,-145.7797327,60.52445983,-145.7838757,UG_line,1
N838_to_N811,60.54143426,-145.7577689,60.53713436,-145.7604799,UG_line,1
N838_to_N859,60.54143426,-145.7577689,60.54096569,-145.7445908,,1
N850_to_N838,60.5464789,-145.7584539,60.54143426,-145.7577689,UG_line,1
N901_to_N400,60.54040807,-145.7413314,60.54046489,-145.7409785,UG_line,1
N910_to_N901,60.53972879,-145.7344047,60.54040807,-145.7413314,UG_line,1
N911_to_N910,60.536203,-145.716283,60.53972879,-145.7344047,UG_line,1
N916_to_N911,60.53848024,-145.7062048,60.536203,-145.716283,UG_line,1
N920_to_N916,60.54181295,-145.6885639,60.53848024,-145.7062048,UG_line,1
N921_to_N920,60.53413561,-145.6558501,60.54181295,-145.6885639,UG_line,1
N931_to_N921,60.52703187,-145.626724,60.53413561,-145.6558501,UG_line,1
N937_to_N931,60.51063389,-145.5522864,60.52703187,-145.626724,UG_line,1
N941_to_N937,60.49782625,-145.4812803,60.51063389,-145.5522864,UG_line,1
